"","x","y","order","group","region","state.name"
"345",-103.764107,21.1946590000001,13,"14.1",14,"Jalisco"
"346",-103.562272,21.0524800000001,14,"14.1",14,"Jalisco"
"347",-103.094178,21.0533000000001,15,"14.1",14,"Jalisco"
"348",-102.660714,21.36887,16,"14.1",14,"Jalisco"
"349",-102.774803,21.6878710000001,17,"14.1",14,"Jalisco"
"350",-102.197564,21.6657820000001,18,"14.1",14,"Jalisco"
"351",-101.896157,21.890231,19,"14.1",14,"Jalisco"
"352",-101.975221,22.05179,20,"14.1",14,"Jalisco"
"353",-101.546739,21.851012,21,"14.1",14,"Jalisco"
"354",-101.638893,21.3625290000001,22,"14.1",14,"Jalisco"
"355",-102.133987,20.7708110000002,23,"14.1",14,"Jalisco"
"356",-101.979537,20.6024010000001,24,"14.1",14,"Jalisco"
"357",-102.06604,20.3691310000001,25,"14.1",14,"Jalisco"
"358",-103.056946,20.1089200000001,26,"14.1",14,"Jalisco"
"359",-103.090682,19.9432500000001,27,"14.1",14,"Jalisco"
"360",-102.80429,19.893271,28,"14.1",14,"Jalisco"
"361",-102.766197,19.4780710000001,29,"14.1",14,"Jalisco"
"362",-102.60183,19.4400300000001,30,"14.1",14,"Jalisco"
"363",-102.733437,19.2134090000001,31,"14.1",14,"Jalisco"
"364",-103.492767,18.9586400000001,32,"14.1",14,"Jalisco"
"365",-103.60276,19.5627210000001,33,"14.1",14,"Jalisco"
"366",-104.808471,19.2323600000001,34,"14.1",14,"Jalisco"
"367",-105.686807,20.367082,35,"14.1",14,"Jalisco"
"368",-105.259307,20.5562510000001,36,"14.1",14,"Jalisco"
"369",-105.131883,20.89633,37,"14.1",14,"Jalisco"
"370",-104.801292,21.0034600000001,38,"14.1",14,"Jalisco"
"371",-104.259452,20.5813510000002,39,"14.1",14,"Jalisco"
"372",-104.22934,21.13802,40,"14.1",14,"Jalisco"
"373",-103.843986,21.24736,41,"14.1",14,"Jalisco"
"374",-103.80156,21.4580910000001,42,"14.1",14,"Jalisco"
"375",-104.342926,22.1024620000001,43,"14.1",14,"Jalisco"
"376",-104.190262,22.40163,44,"14.1",14,"Jalisco"
"377",-103.974777,22.36521,45,"14.1",14,"Jalisco"
"378",-104.047675,22.5840110000001,46,"14.1",14,"Jalisco"
"379",-103.879867,22.6668920000001,47,"14.1",14,"Jalisco"
"380",-99.7409289999999,20.218879,1,"15.1",15,"Estado de México"
"381",-99.4938569999999,20.1409690000001,2,"15.1",15,"Estado de México"
"382",-99.359384,19.7212299999999,3,"15.1",15,"Estado de México"
"383",-98.8958279999999,20.070371,4,"15.1",15,"Estado de México"
"384",-98.9496609999999,19.70573,5,"15.1",15,"Estado de México"
"385",-98.6160659999999,19.8265720000001,6,"15.1",15,"Estado de México"
"386",-98.5465779999999,19.0288700000001,7,"15.1",15,"Estado de México"
"387",-98.7967309999999,18.9861810000001,8,"15.1",15,"Estado de México"
"388",-99.0907369999999,19.5386890000001,9,"15.1",15,"Estado de México"
"389",-99.325347,19.2670990000001,10,"15.1",15,"Estado de México"
"390",-99.2170039999999,19.06344,11,"15.1",15,"Estado de México"
"391",-99.4648369999999,18.66145,12,"15.1",15,"Estado de México"
"392",-99.6703419999999,18.7169700000001,13,"15.1",15,"Estado de México"
"393",-100.255303,18.3393010000001,14,"15.1",15,"Estado de México"
"394",-100.459258,18.465508,15,"15.1",15,"Estado de México"
"395",-100.419669,19.0605110000001,16,"15.1",15,"Estado de México"
"396",-100.206101,19.4481920000001,17,"15.1",15,"Estado de México"
"397",-100.286347,19.72446,18,"15.1",15,"Estado de México"
"398",-99.978958,20.24021,19,"15.1",15,"Estado de México"
"399",-99.7409289999999,20.218879,20,"15.1",15,"Estado de México"
"400",-102.031823,20.3669500000001,1,"16.1",16,"Michoacán"
"401",-101.937638,20.1881820000002,2,"16.1",16,"Michoacán"
"402",-101.46453,20.3138099999999,3,"16.1",16,"Michoacán"
"403",-101.424691,20.0436300000001,4,"16.1",16,"Michoacán"
"404",-101.237282,19.987552,5,"16.1",16,"Michoacán"
"405",-101.029099,20.0675100000001,6,"16.1",16,"Michoacán"
"406",-101.012108,19.9558690000001,7,"16.1",16,"Michoacán"
"407",-100.534447,19.9095090000001,8,"16.1",16,"Michoacán"
"408",-100.339982,20.0697800000002,9,"16.1",16,"Michoacán"
"409",-100.361237,20.29665,10,"16.1",16,"Michoacán"
"410",-100.126297,20.04376,11,"16.1",16,"Michoacán"
"411",-100.324418,19.194271,12,"16.1",16,"Michoacán"
"412",-100.78955,18.784749,13,"16.1",16,"Michoacán"
"413",-100.637206,18.316022,14,"16.1",16,"Michoacán"
"414",-101.797149,18.5850190000001,15,"16.1",16,"Michoacán"
